sim_name,result
90_60-with-60_1,0.014735
90_60-with-80_20,0.000000
90_60-with-30_60,0.008944
90_60-with-30_80,0.005714
90_60-with-80_60,0.196774
90_60-with-80_40,0.061101
90_60-with-80_100,0.019262
90_60-with-80_50,0.133333
90_60-with-90_70,0.140000
90_60-with-80_80,-0.008729
90_60-with-60_50,0.051429
90_60-with-50_40,0.016330
90_60-with-50_100,-0.006667
90_60-with-50_50,0.034915
90_60-with-50_70,-0.021822
90_60-with-1_50,-0.189565
90_60-with-20_70,0.007605
90_60-with-30_100,-0.025607
90_60-with-70_10,-0.054772
90_60-with-100_50,0.106667
90_60-with-40_60,0.000000
90_60-with-70_80,0.006667
90_60-with-40_70,0.014087
90_60-with-90_50,0.100000
90_60-with-100_70,0.080000
90_60-with-80_10,-0.085879
90_60-with-10_30,-0.036040
90_60-with-50_80,-0.016330
90_60-with-70_1,-0.012679
90_60-with-40_50,0.021131
90_60-with-100_100,0.028893
90_60-with-40_100,0.026186
90_60-with-70_40,0.073333
90_60-with-1_20,-0.184268
90_60-with-10_1,-0.035464
90_60-with-70_30,0.042762
90_60-with-1_30,-0.190121
90_60-with-30_20,-0.010243
90_60-with-10_80,-0.037097
90_60-with-90_80,-0.010000
90_60-with-100_20,-0.009631
90_60-with-10_100,-0.040825
90_60-with-10_40,-0.015275
90_60-with-1_80,-0.194661
90_60-with-80_70,0.133333
90_60-with-40_1,0.014764
90_60-with-20_40,-0.024759
90_60-with-1_90,-0.192042
90_60-with-1_100,-0.174961
90_60-with-30_10,-0.035857
90_60-with-90_100,-0.010000
90_60-with-70_100,0.013093
90_60-with-20_1,0.008162
90_60-with-30_1,-0.015671
90_60-with-20_30,-0.026248
90_60-with-20_100,0.011378
90_60-with-50_30,0.014856
90_60-with-70_60,0.071554
90_60-with-50_90,0.000000
90_60-with-90_90,0.033333
90_60-with-60_80,0.030729
90_60-with-20_50,-0.007605
90_60-with-1_10,-0.188237
90_60-with-20_90,-0.011931
90_60-with-90_10,-0.012000
90_60-with-1_70,-0.195551
20_20-with-20_10,-0.300000
20_20-with-50_1,0.129706
20_20-with-40_30,0.048990
20_20-with-1_1,-0.523185
20_20-with-20_80,0.020000
20_20-with-100_60,0.038784
20_20-with-1_40,-0.627070
20_20-with-80_1,0.040160
20_20-with-90_20,0.028111
20_20-with-10_10,-0.106667
20_20-with-50_20,0.059628
20_20-with-10_90,0.005643
20_20-with-30_70,0.058554
20_20-with-10_50,-0.037482
